#Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 10:07:06      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 10:07:06      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     0
 10:07:07      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:07:07      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:07:08      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:07:08      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     0
#Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 10:07:09      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:07:09      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     6     1
 10:07:11      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 10:07:11      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     6
 10:07:12      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1     4
 10:07:12      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     1
 10:07:13      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5     2
 10:07:13      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     5     2
 10:07:14      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    35     0
 10:07:14      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     7     1
 10:07:16      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    37     1
 10:07:16      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:07:17      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     6    18
 10:07:17      1    12    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     3
 10:07:18      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:07:18      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:07:20      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:07:20      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     8     0
 10:07:21      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:07:21      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:07:22      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     7    19
 10:07:22      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:07:23      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1     3
 10:07:23      1    11    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:07:25      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     2     0
 10:07:25      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     3
 10:07:26      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:07:26      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     1
 10:07:27      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 10:07:27      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     3
 10:07:28      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:07:28      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:07:29      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:07:29      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0    11     0
 10:07:31      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     9     4
 10:07:31      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     8     1
