#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20231204   10:07:14      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 20231204   10:07:14      1    10    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:16      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    35     0
 20231204   10:07:16      1    12    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0    11     0
 20231204   10:07:17      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     3     4
 20231204   10:07:17      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     6
 20231204   10:07:18      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 20231204   10:07:18      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:19      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 20231204   10:07:19      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:21      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:07:21      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     0
 20231204   10:07:22      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 20231204   10:07:22      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     7     5
 20231204   10:07:23      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     6
 20231204   10:07:23      1    11    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     5
 20231204   10:07:24      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     4     2
 20231204   10:07:24      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     2
 20231204   10:07:26      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     3     1
 20231204   10:07:26      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     1     3
 20231204   10:07:27      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:07:27      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0    10     1
 20231204   10:07:28      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5     0
 20231204   10:07:28      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:29      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 20231204   10:07:29      1     9    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     3
 20231204   10:07:31      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    37     1
 20231204   10:07:31      1    11    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:32      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    34     0
 20231204   10:07:32      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:33      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    36     0
 20231204   10:07:33      1     9    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     0
 20231204   10:07:34      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     2
 20231204   10:07:34      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:36      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 20231204   10:07:36      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:37      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 20231204   10:07:37      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:38      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5    19
 20231204   10:07:38      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20231204   10:07:40      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5     0
 20231204   10:07:40      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:41      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    35     0
 20231204   10:07:41      1     9    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:42      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    39     0
 20231204   10:07:42      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:43      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    35     0
 20231204   10:07:43      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:45      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     8    17
 20231204   10:07:45      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:46      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 20231204   10:07:46      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
